,label,score
0,fear,0.9332622289657593
1,sadness,0.5515188574790955
2,anger,0.9814165830612183
3,neutral,0.8835921287536621
4,fear,0.9921441078186035
5,neutral,0.8374659419059753
6,neutral,0.8063019514083862
7,disgust,0.8354642987251282
8,fear,0.7490091919898987
9,joy,0.6386387348175049
10,neutral,0.3973747491836548
11,neutral,0.6732867956161499
12,neutral,0.5146564245223999
13,neutral,0.654535174369812
14,neutral,0.4671483337879181
15,neutral,0.7546977996826172
16,neutral,0.4752771854400635
17,neutral,0.31974130868911743
18,disgust,0.6417202949523926
19,fear,0.38577747344970703
20,anger,0.5079989433288574
21,surprise,0.4785022735595703
22,anger,0.4656227231025696
23,fear,0.7088398337364197
24,surprise,0.8138520121574402
25,fear,0.6514464616775513
26,disgust,0.3613053560256958
27,neutral,0.6863754391670227
28,neutral,0.899542510509491
29,neutral,0.8392839431762695
30,anger,0.7941297888755798
31,fear,0.9127120971679688
32,neutral,0.7357625961303711
33,neutral,0.715187132358551
34,neutral,0.5543835163116455
35,sadness,0.4381738007068634
36,neutral,0.605320930480957
37,neutral,0.7534009218215942
38,neutral,0.7664260864257812
39,neutral,0.8065823316574097
40,anger,0.5447617769241333
41,neutral,0.8012059330940247
42,neutral,0.9270738959312439
43,neutral,0.5042963624000549
44,neutral,0.7581003904342651
45,neutral,0.5781041383743286
46,joy,0.8005023002624512
47,neutral,0.547317385673523
48,joy,0.6937891244888306
49,neutral,0.3935750722885132
50,fear,0.46020397543907166
51,fear,0.9207162261009216
52,neutral,0.6972079873085022
53,neutral,0.36756691336631775
54,neutral,0.581488847732544
55,fear,0.9199158549308777
56,fear,0.5280017256736755
57,neutral,0.6756668090820312
58,neutral,0.8675532341003418
59,neutral,0.5579873919487
60,fear,0.8359929919242859
61,neutral,0.5037848353385925
62,disgust,0.5445530414581299
63,neutral,0.6384089589118958
64,surprise,0.9202930331230164
65,neutral,0.8444348573684692
66,anger,0.534318208694458
67,anger,0.8067431449890137
68,neutral,0.3746480643749237
69,neutral,0.6428598165512085
70,fear,0.5137225389480591
71,neutral,0.6736939549446106
72,neutral,0.6477723121643066
73,sadness,0.6137131452560425
74,disgust,0.3553336560726166
