,label,score
0,joy,0.5707700848579407
1,neutral,0.5700178742408752
2,sadness,0.7199028134346008
3,neutral,0.7803613543510437
4,neutral,0.531891942024231
5,fear,0.3471008241176605
6,disgust,0.5348897576332092
7,neutral,0.8262015581130981
8,neutral,0.926910936832428
9,neutral,0.6733803153038025
10,neutral,0.9172201156616211
11,fear,0.906348705291748
12,neutral,0.8117902874946594
13,fear,0.960090160369873
14,anger,0.5887625217437744
15,neutral,0.4837075471878052
16,neutral,0.7949506640434265
17,disgust,0.6688541173934937
18,anger,0.6632997989654541
19,neutral,0.9609347581863403
20,sadness,0.57559734582901
21,fear,0.6924646496772766
22,neutral,0.9347288608551025
23,anger,0.6432487964630127
24,neutral,0.7045321464538574
25,anger,0.6102874875068665
26,fear,0.49056217074394226
27,neutral,0.4914509057998657
28,fear,0.7632768750190735
29,surprise,0.885667622089386
30,neutral,0.6860362887382507
31,neutral,0.7443508505821228
32,anger,0.45924049615859985
33,neutral,0.6531186699867249
34,surprise,0.6395413875579834
35,fear,0.9295251965522766
36,neutral,0.9230810403823853
37,fear,0.929053008556366
38,sadness,0.4626436233520508
39,neutral,0.7729063034057617
40,fear,0.4685567021369934
41,anger,0.526390790939331
42,anger,0.6992936730384827
43,neutral,0.5227490663528442
44,neutral,0.8328968286514282
45,disgust,0.34372666478157043
46,neutral,0.7593879699707031
47,neutral,0.7299417853355408
48,neutral,0.7811189293861389
49,neutral,0.5310946106910706
50,neutral,0.8480901122093201
51,fear,0.6232086420059204
52,neutral,0.5436465740203857
53,fear,0.9729846119880676
54,neutral,0.8561248183250427
55,anger,0.8956669569015503
56,sadness,0.39235571026802063
57,neutral,0.7504591941833496
58,anger,0.5926325917243958
59,neutral,0.6236005425453186
60,fear,0.417092889547348
61,neutral,0.7286162972450256
62,fear,0.6588067412376404
63,neutral,0.45701301097869873
64,anger,0.6305515766143799
65,anger,0.4174739122390747
66,neutral,0.6463155746459961
67,fear,0.8672085404396057
68,neutral,0.7239075303077698
69,neutral,0.8676341772079468
70,fear,0.7818196415901184
71,fear,0.6329463124275208
72,neutral,0.3612997829914093
73,neutral,0.8518171310424805
74,neutral,0.9220497012138367
75,neutral,0.8925086259841919
76,neutral,0.8360518217086792
77,fear,0.45716479420661926
78,anger,0.40274351835250854
79,anger,0.4857058823108673
80,neutral,0.8360836505889893
81,neutral,0.7204746603965759
82,joy,0.5291963815689087
83,neutral,0.7763860821723938
84,fear,0.566665768623352
85,neutral,0.4783799648284912
86,neutral,0.6375004053115845
87,neutral,0.8472565412521362
88,surprise,0.5301362872123718
89,joy,0.8464555144309998
90,disgust,0.3553439676761627
91,anger,0.6736301779747009
92,anger,0.5227353572845459
93,fear,0.38291284441947937
94,anger,0.8285325765609741
95,neutral,0.5675495862960815
96,neutral,0.7174683809280396
97,neutral,0.8060015439987183
98,disgust,0.29016250371932983
99,sadness,0.4927186965942383
100,sadness,0.6665903925895691
101,fear,0.9898480772972107
102,sadness,0.4541299641132355
103,neutral,0.6758992671966553
104,neutral,0.790286123752594
105,anger,0.5345998406410217
106,neutral,0.8034734725952148
107,fear,0.7952320575714111
108,neutral,0.4303911626338959
109,neutral,0.901785671710968
110,neutral,0.5617231130599976
111,disgust,0.3343918025493622
112,fear,0.9795014262199402
113,neutral,0.8911553025245667
114,neutral,0.6430014371871948
115,neutral,0.7870349287986755
116,fear,0.5014500021934509
117,anger,0.48010560870170593
118,neutral,0.6114569306373596
119,neutral,0.7802783846855164
120,neutral,0.837774932384491
121,neutral,0.780098557472229
122,neutral,0.7770078182220459
123,fear,0.45729342103004456
124,anger,0.6475276947021484
