,file_name,relative_freq_adj,relative_freq_verb,relative_freq_noun,relative_freq_adv,final_person,final_location,final_org
0,0200.b5.txt,716.51,996.88,1682.24,1682.24,18,0,4
1,0165.b5.txt,654.34,931.72,1721.19,1721.19,17,0,7
2,2066.b5.txt,513.45,1409.94,1303.99,1303.99,50,0,3
3,1532.b5.txt,392.01,1214.45,1575.71,1575.71,16,0,9
4,2019.b5.txt,487.04,1123.33,1351.14,1351.14,25,0,8
5,0300.b5.txt,779.94,800.84,1727.02,1727.02,29,0,6
6,1003.b5.txt,546.22,1141.46,1484.59,1484.59,25,0,5
7,1023.b5.txt,654.76,1220.24,1392.86,1392.86,46,0,5
8,3020.b5.txt,789.04,847.18,1677.74,1677.74,16,0,3
9,1100.b5.txt,738.35,1053.76,1770.61,1770.61,25,0,4
10,3018.b5.txt,685.38,1044.39,1442.56,1442.56,25,0,33
11,2028.b5.txt,464.18,1340.97,1318.05,1318.05,43,0,25
12,1533.b5.txt,481.28,1229.95,1517.89,1517.89,37,0,4
13,2032.b5.txt,542.32,1221.49,937.66,937.66,29,0,23
14,1021.b5.txt,563.65,1000.63,1728.94,1728.94,19,0,4
15,1508.b5.txt,406.71,1174.95,1213.69,1213.69,49,0,13
16,0310.b5.txt,808.4,1005.73,1559.52,1559.52,12,0,3
17,1057.b5.txt,795.65,967.37,1516.89,1516.89,28,0,5
18,0140.b5.txt,573.08,991.63,1410.17,1410.17,46,0,7
19,2034.b5.txt,746.04,934.44,1537.3,1537.3,25,0,4
20,0103.b5.txt,838.91,1049.92,1724.14,1724.14,30,0,1
